iter	Passed	Remaining
0	139	139069
1	141	70722
2	144	48059
3	147	36673
4	149	29826
5	152	25282
6	155	22039
7	156	19447
8	158	17429
9	159	15833
10	161	14511
11	162	13409
12	164	12472
13	165	11672
14	167	10978
15	168	10364
16	169	9826
17	171	9346
18	172	8914
19	174	8536
20	175	8192
21	177	7877
22	178	7590
23	180	7323
24	181	7077
25	182	6839
26	183	6611
27	184	6399
28	185	6203
29	186	6019
30	187	5847
31	187	5684
32	188	5536
33	189	5396
34	190	5261
35	191	5133
36	192	5011
37	193	4896
38	194	4787
39	195	4683
40	196	4585
41	196	4492
42	197	4402
43	198	4317
44	199	4236
45	200	4157
46	201	4081
47	202	4009
48	202	3939
49	203	3875
50	204	3814
51	205	3752
52	206	3693
53	207	3637
54	208	3582
55	209	3529
56	210	3477
57	211	3427
58	211	3379
59	212	3333
60	213	3288
61	214	3244
62	215	3201
63	216	3160
64	216	3120
65	217	3082
66	218	3045
67	219	3011
68	220	2977
69	221	2943
70	222	2910
71	223	2877
72	224	2845
73	224	2815
74	225	2785
75	226	2755
76	227	2727
77	228	2699
78	229	2672
79	230	2645
80	230	2619
81	231	2594
82	232	2565
83	233	2541
84	234	2519
85	234	2497
86	235	2474
87	236	2453
88	237	2431
89	238	2410
90	239	2389
91	240	2369
92	240	2349
93	241	2330
94	242	2311
95	243	2293
96	244	2274
97	245	2256
98	246	2238
99	246	2221
100	247	2204
101	248	2188
102	249	2174
103	250	2159
104	251	2145
105	252	2130
106	253	2116
107	254	2102
108	255	2088
109	256	2075
110	257	2062
111	258	2050
112	259	2037
113	260	2024
114	261	2012
115	262	1999
116	263	1987
117	264	1977
118	265	1965
119	266	1953
120	267	1940
121	267	1928
122	268	1916
123	269	1904
124	270	1893
125	271	1882
126	272	1869
127	272	1859
128	273	1848
129	274	1837
130	275	1826
131	276	1816
132	277	1806
133	277	1796
134	279	1788
135	279	1778
136	280	1768
137	281	1759
138	282	1750
139	283	1741
140	284	1732
141	284	1721
142	285	1712
143	286	1704
144	287	1695
145	288	1686
146	289	1678
147	290	1670
148	291	1662
149	292	1654
150	292	1646
151	293	1639
152	294	1631
153	295	1624
154	296	1616
155	297	1609
156	298	1601
157	299	1594
158	299	1586
159	300	1579
160	301	1570
161	302	1563
162	303	1556
163	303	1549
164	304	1542
165	305	1535
166	306	1528
167	307	1522
168	308	1515
169	309	1509
170	310	1503
171	311	1497
172	311	1491
173	312	1484
174	313	1478
175	314	1472
176	315	1466
177	316	1459
178	316	1453
179	317	1447
180	318	1442
181	319	1437
182	321	1433
183	322	1428
184	323	1423
185	324	1418
186	324	1412
187	325	1406
188	326	1401
189	327	1395
190	328	1390
191	329	1384
192	329	1379
193	330	1374
194	331	1368
195	332	1363
196	333	1358
197	334	1353
198	334	1348
199	335	1343
200	336	1338
201	337	1333
202	338	1328
203	339	1324
204	340	1319
205	341	1314
206	341	1309
207	342	1305
208	343	1300
209	344	1295
210	345	1291
211	346	1286
212	347	1282
213	347	1277
214	348	1273
215	349	1268
216	350	1264
217	351	1259
218	351	1255
219	352	1250
220	353	1247
221	354	1243
222	355	1238
223	356	1234
224	357	1230
225	358	1226
226	358	1222
227	359	1218
228	360	1213
229	361	1209
230	362	1205
231	363	1202
232	364	1198
233	364	1194
234	365	1190
235	366	1187
236	368	1185
237	369	1183
238	370	1180
239	371	1176
240	372	1172
241	373	1169
242	374	1165
243	374	1161
244	375	1158
245	376	1154
246	377	1150
247	378	1147
248	379	1143
249	380	1140
250	380	1136
251	381	1132
252	382	1129
253	383	1126
254	384	1123
255	385	1119
256	386	1116
257	387	1113
258	388	1110
259	389	1107
260	389	1104
261	390	1101
262	391	1097
263	392	1094
264	393	1091
265	394	1087
266	395	1084
267	395	1081
268	396	1078
269	397	1074
270	398	1072
271	399	1069
272	400	1066
273	401	1062
274	401	1059
275	402	1056
276	403	1053
277	404	1050
278	405	1047
279	406	1044
280	407	1041
281	407	1038
282	408	1035
283	409	1032
284	410	1029
285	411	1026
286	412	1023
287	413	1021
288	413	1018
289	414	1015
290	415	1012
291	416	1009
292	417	1007
293	418	1004
294	419	1001
295	419	998
296	420	996
297	421	993
298	422	990
299	423	987
300	424	985
301	425	982
302	425	979
303	426	976
304	427	974
305	428	972
306	429	969
307	430	967
308	431	964
309	432	962
310	433	959
311	433	956
312	434	954
313	435	951
314	436	948
315	437	946
316	438	943
317	438	941
318	439	938
319	440	936
320	441	933
321	442	931
322	443	928
323	444	926
324	445	924
325	445	921
326	447	920
327	448	918
328	449	915
329	449	913
330	450	910
331	451	908
332	452	906
333	453	903
334	454	901
335	454	898
336	455	896
337	456	894
338	457	892
339	458	889
340	459	887
341	460	885
342	460	882
343	461	880
344	462	878
345	463	876
346	464	873
347	465	871
348	466	869
349	466	867
350	467	864
351	468	862
352	469	860
353	470	857
354	470	855
355	471	853
356	472	851
357	473	849
358	474	847
359	475	845
360	476	843
361	477	841
362	478	838
363	478	836
364	479	834
365	480	832
366	481	830
367	482	828
368	483	826
369	483	824
370	484	822
371	485	819
372	486	817
373	487	815
374	488	814
375	489	812
376	490	809
377	490	807
378	491	805
379	492	803
380	493	801
381	494	799
382	495	797
383	496	795
384	496	793
385	497	791
386	498	789
387	499	787
388	500	785
389	501	783
390	502	782
391	503	780
392	503	778
